# Export Timestamp: 2025-11-16T16:39:27.542283
# Parameter: probe_detuning
# Fixed Parameters:
#   pump_intensity: 1000.0
#   probe_intensity: 100.0
#   number_density: 1e+17
#   interaction_length: 0.01
# Metadata:
#   units: rad/s
#
probe_detuning,chi3_real,chi3_imag,chi3_magnitude,chi3_phase,fwm_intensity
-94247779.60769379,-2.7621782128049044e-11,-5.584203620220583e-12,2.818059931941644e-11,-2.942114631110905,2.1079964876511946e-20
-91052939.6209923,-2.851102580658729e-11,-5.966223929532259e-12,2.9128584251920134e-11,-2.9353090850223653,2.2522063920544706e-20
-87858099.63429083,-2.945628199156517e-11,-6.388174949364681e-12,3.014102400301451e-11,-2.9280300930585406,2.4114898509431798e-20
-84663259.64758934,-3.046261773534751e-11,-6.85571749517489e-12,3.1224540695798165e-11,-2.920227328665041,2.5879837812193984e-20
-81468419.66088785,-3.1535656792873977e-11,-7.375530554560823e-12,3.238666547082609e-11,-2.911843210180006,2.784209452406061e-20
-78273579.67418636,-3.268163912701823e-11,-7.955533562596306e-12,3.3635993374571906e-11,-2.9028115742434055,3.003156393978657e-20
-75078739.68748489,-3.3907481156466e-11,-8.605165616754618e-12,3.498236918317386e-11,-2.8930560549823907,3.2483877969799064e-20
-71883899.7007834,-3.522083257472461e-11,-9.335738240278951e-12,3.643711096873336e-11,-2.8824880924984053,3.5241736796412875e-20
-68689059.71408191,-3.6630122535823625e-11,-1.0160883641555387e-11,3.801327969758308e-11,-2.871004471604701,3.83566010205501e-20
-65494219.72738043,-3.8144583112871566e-11,-1.109712755950764e-11,3.972600484477077e-11,-2.8584842618785546,4.1890854111683234e-20
-62299379.74067895,-3.977423006065167e-11,-1.216462531090025e-11,4.1592877826284655e-11,-2.8447849904450244,4.592058093318169e-20
-59104539.75397746,-4.1529768214741496e-11,-1.3388112260470292e-11,4.3634426750779114e-11,-2.829737826287653,5.0539155698331194e-20
-55909699.76727598,-4.342236833040004e-11,-1.479813635381781e-11,4.587468703944598e-11,-2.8131414852186243,5.586189469287149e-20
-52714859.78057449,-4.546322886831988e-11,-1.6432661113227523e-11,4.8341881742392007e-11,-2.794754473087136,6.203210746831195e-20
-49520019.79387301,-4.7662782058060056e-11,-1.8339152277146153e-11,5.106922066919062e-11,-2.774285166295128,6.922897375507489e-20
-46325179.80717152,-5.00293152216779e-11,-2.0577287370516226e-11,5.4095814413675473e-11,-2.7513790797178737,7.767777189457869e-20
-43130339.82047004,-5.256663427749913e-11,-2.3222446390973952e-11,5.7467669655607277e-11,-2.725602495316815,8.766305592722562e-20
-39935499.83376856,-5.527016250171444e-11,-2.6370131465067982e-11,6.123866994351599e-11,-2.6964214396500616,9.95453394750454e-20
-36740659.84706707,-5.812049286796505e-11,-3.014137183392503e-11,6.547132186878546e-11,-2.66317486602424,1.1378149917175263e-19
-33545819.860365592,-6.10728283385604e-11,-3.4688881791315495e-11,7.023680574458897e-11,-2.6250409724693675,1.309480204336676e-19
-30350979.873664103,-6.403988689044313e-11,-4.02030051323539e-11,7.561341636649427e-11,-2.580996231040617,1.517634373237223e-19
-27156139.886962622,-6.686474742469842e-11,-4.691479783277835e-11,8.168165463468023e-11,-2.5297687053962465,1.770999694428337e-19
-23961299.900261134,-6.927918611645586e-11,-5.509003903107108e-11,8.851281279794166e-11,-2.469792208250649,2.079609138204703e-19
-20766459.913559645,-7.084388625346701e-11,-6.500108214745994e-11,9.614570661155394e-11,-2.3991788218194827,2.4537438492430867e-19
-17571619.92685817,-7.087397419501333e-11,-7.68520865335533e-11,1.0454359579982018e-10,-2.31574900471864,2.90111069544052e-19
-14376779.940156683,-6.837646798547898e-11,-9.062034600586616e-11,1.1352263423825283e-10,-2.2171952475309498,3.4208525347891243e-19
-11181939.953455195,-6.20789931422573e-11,-1.0578112624314116e-10,1.2265173483821496e-10,-2.1015000105602084,3.9931610260931165e-19
-7987099.966753721,-5.070425251109527e-11,-1.2095837464871838e-10,1.3115582190802141e-10,-1.9677335488853893,4.566091178842501e-19
-4792259.980052233,-3.3640311151293865e-11,-1.337520082313692e-10,1.3791762121019966e-10,-1.81719807650234,5.049041595601462e-19
